收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,url,image_url
1040683,104年03月30日,"冬山  太和村",公所捕獲,3-7歲,母,棕黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-9,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7293,http://asms.wsn.com.tw/Eland/Upload/104-0683/D0AB47F07A7245FCA56E75DC8699B50D.jpg
1040684,104年03月30日,"冬山  太和村",公所捕獲,3-7歲,母,棕黑,混種狗,大,,無,宜蘭縣動植物防疫所,E-9,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7294,http://asms.wsn.com.tw/Eland/Upload/104-0684/0E03D88651BD41C2948C79C1C86E2801.jpg
1040698,104年03月30日,"壯圍  黃",公所捕獲,3-7歲,母,黃,混種狗,大,,無,宜蘭縣動植物防疫所,E-11,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7308,http://asms.wsn.com.tw/Eland/Upload/104-0698/DSC08459.jpg
1040699,104年03月30日,"羅東  中山西路",公所捕獲,3-7歲,公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-12,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7309,http://asms.wsn.com.tw/Eland/Upload/104-0699/137076FE821B46BB878F6186E7E1749C.jpg
1040710,104年03月30日,"員山  蜊埤路",公所捕獲,3-7歲,公,白,混種狗,大,,無,宜蘭縣動植物防疫所,D-4,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7320,http://asms.wsn.com.tw/Eland/Upload/104-0710/19E1C67B91B64345AAB7C36ED9E6D6FD.jpg
1040721,104年03月31日,"礁溪  二龍村",公所捕獲,3-7歲,公,"黑 綠項圈",混種狗,大,,無,宜蘭縣動植物防疫所,D-16,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7331,http://asms.wsn.com.tw/Eland/Upload/104-0721/9D126935E4ED482BAE255137662BA1E0.jpg
1040724,104年03月31日,"礁溪  下忠村",公所捕獲,3月齡以下,公,黑,混種狗,小,,無,宜蘭縣動植物防疫所,幼-6,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7334,http://asms.wsn.com.tw/Eland/Upload/104-0724/41000BBF970C4EDBA23351BD2D330F27.jpg
1040726,104年03月31日,"礁溪  下忠村",公所捕獲,3月齡以下,公,棕,混種狗,小,,無,宜蘭縣動植物防疫所,C-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7336,http://asms.wsn.com.tw/Eland/Upload/104-0726/F82CDDFD12DF4C549D3E12326F2F6D7F.jpg
1040727,104年03月31日,"礁溪  下忠村",公所捕獲,3月齡以下,公,棕,混種狗,小,,無,宜蘭縣動植物防疫所,幼-6,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7337,http://asms.wsn.com.tw/Eland/Upload/104-0727/5F8348CBC27A4A57A169FA0083790786.jpg
1040731,104年04月01日,"三星  聖母護專",本所捕獲,3-7歲,公,棕黑,混種狗,大,,無,宜蘭縣動植物防疫所,B-9,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7341,http://asms.wsn.com.tw/Eland/Upload/104-0731/0663CEE91A1143A6A12F35E199F5A855.jpg
