id,動物編號,進所日期,捕捉地點,進所原因,動物性別,動物毛色,動物品種,動物體型,是否結紮,晶片號碼,棄養原因,動物紀錄,收容籠位,處理結果,圖片
111095,(犬)104H0116,2015/8/31,竹北市嘉興路,政府捕捉,母,黑,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,A3,****,http://animalprotection.hchg.gov.tw/sca/Animals/112436.JPG
111096,(犬)104H0117,2015/8/31,竹北市嘉興路,政府捕捉,母,黑,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,A3,****,http://animalprotection.hchg.gov.tw/sca/Animals/112437.JPG
111097,(犬)104H0118,2015/8/31,竹北市嘉興路,政府捕捉,母,黑,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,A3,****,http://animalprotection.hchg.gov.tw/sca/Animals/112438.JPG
111098,(犬)104H0119,2015/8/31,竹北市嘉興路,政府捕捉,母,黃、米、咖啡、棕色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,A3,****,http://animalprotection.hchg.gov.tw/sca/Animals/112439.JPG
111099,(犬)104H0120,2015/8/31,竹北市嘉興路,政府捕捉,母,黃、米、咖啡、棕色系,混(不明),小(幼年),,無晶片,,友善、親人活潑好動,A3,民眾領養,http://animalprotection.hchg.gov.tw/sca/Animals/112440.JPG
111100,(犬)104H0121,2015/8/31,新豐鄉紅樹林,政府捕捉,公,黑,混(不明),中(成年),,無晶片,,,32,****,http://animalprotection.hchg.gov.tw/sca/Animals/112441.JPG
111101,(犬)104H0122,2015/8/31,新豐鄉紅樹林,政府捕捉,公,黑,混(不明),中(成年),,無晶片,,,32,****,http://animalprotection.hchg.gov.tw/sca/Animals/112442.JPG
111102,(犬)104H0123,2015/8/31,新豐鄉紅樹林,政府捕捉,公,虎斑紋,混(不明),中(成年),,無晶片,,,30,****,http://animalprotection.hchg.gov.tw/sca/Animals/112443.JPG
111103,(犬)104H0124,2015/8/31,新豐鄉紅樹林,政府捕捉,公,黑,混(不明),中(成年),,無晶片,,,28,****,http://animalprotection.hchg.gov.tw/sca/Animals/112444.JPG
111104,(犬)104H0125,2015/8/31,新豐鄉中崙,政府捕捉,公,黑,混(不明),中(成年),,無晶片,,嚴重皮膚病,病1,****,http://animalprotection.hchg.gov.tw/sca/Animals/112445.JPG
111105,(犬)104H0126,2015/8/31,新豐鄉紅樹林,政府捕捉,母,虎斑紋,混(不明),中(成年),,無晶片,,,27,****,http://animalprotection.hchg.gov.tw/sca/Animals/112446.JPG
111106,(犬)104H0127,2015/8/31,新豐鄉紅樹林,政府捕捉,母,黃、米、咖啡、棕色系,混(不明),中(成年),,無晶片,,,23,****,http://animalprotection.hchg.gov.tw/sca/Animals/112447.JPG
111107,(犬)104H0128,2015/8/31,關西鎮東平里,政府捕捉,公,黃黑色系,混(不明),中(成年),,無晶片,,,26,****,http://animalprotection.hchg.gov.tw/sca/Animals/112448.JPG
111108,(犬)104H0129,2015/8/31,關西鎮東平里,政府捕捉,公,黃黑色系,混(不明),中(成年),,無晶片,,,22,****,http://animalprotection.hchg.gov.tw/sca/Animals/112449.JPG
111109,(犬)104H0130,2015/8/31,關西鎮東平里,政府捕捉,母,黃黑色系,混(不明),小(成年),,無晶片,,,21,****,http://animalprotection.hchg.gov.tw/sca/Animals/112450.JPG
111110,(犬)104H0131,2015/8/31,新豐鄉鳳坑村,政府捕捉,公,白/黑/黃(三色),混(不明),小(幼年),,無晶片,,,B3,****,http://animalprotection.hchg.gov.tw/sca/Animals/112451.JPG
111111,(犬)104H0132,2015/8/31,新豐鄉鳳坑村,政府捕捉,公,白/黑/黃(三色),混(不明),小(幼年),,無晶片,,,B3,****,http://animalprotection.hchg.gov.tw/sca/Animals/112452.JPG
111112,(犬)104H0133,2015/8/31,新豐鄉鳳坑村,政府捕捉,公,黃黑色系,混(不明),小(幼年),,無晶片,,,B3,****,http://animalprotection.hchg.gov.tw/sca/Animals/112453.JPG
111113,(犬)104H0134,2015/8/31,新豐鄉鳳坑村,政府捕捉,母,黃黑色系,混(不明),小(幼年),,無晶片,,,B3,****,http://animalprotection.hchg.gov.tw/sca/Animals/112454.JPG
111114,(犬)104H0135,2015/8/31,新豐鄉鳳坑村,政府捕捉,母,黃黑色系,混(不明),小(幼年),,無晶片,,,B3,****,http://animalprotection.hchg.gov.tw/sca/Animals/112455.JPG
111091,(犬)104H0112,2015/8/29,湖口鄉中正路,政府捕捉,母,黑,純(台灣犬),小(幼年),,無晶片,太吵,友善、親人活潑好動,B1,****,http://animalprotection.hchg.gov.tw/sca/Animals/112430.JPG
111078,(犬)104H0099,2015/8/27,新豐鄉德源街,政府捕捉,母,黃、米、咖啡、棕色系,混(不明),中(成年),,無晶片,,友善、親人活潑好動,1,****,http://animalprotection.hchg.gov.tw/sca/Animals/112411.JPG
111079,(犬)104H0100,2015/8/27,新豐鄉德源街,政府捕捉,公,黑,混(不明),小(幼年),,無晶片,,友善、親人需哺乳，無法照護,A1,****,http://animalprotection.hchg.gov.tw/sca/Animals/112412.JPG
